English;Dictionary;English;て-form;Group;;
会う;あう;meet;あって;1;;
開く;あく;open;あいて;1;;
開ける;あける;open;あけて;2;;
;あげる;give;あげて;2;;
遊ぶ;あそぶ;play;あそんで;2;;
浴びる;あびる;take a shower;あびて;2;;
洗う;あらう;wash;あらって;1;;
有る;ある;be| exist;あって;1;;
歩く;あるく;walk;あるいて;1;;
言う;いう;say| tell;いって;1;;
行く;いく;go;いって;1;;
急ぐ;いそぐ;hurry;いそいで;1;;
要る;いる;need| must haven be required;いって;1;;
居る;いる;exist;いて;2;;
入れる;いれる;insert| put in;いれて;2;;
歌う;うたう;sing;うたって;1;;
生まれる;うまれる;be born;うまれて;1;;
売る;うる;sell;うって;1;;
起きる;おきる;get up| stand up;おきて;1;;
置く;おく;put;おいて;1;;
送る;おくる;send;おくって;1;;
押す;おす;push;おして;1;;
覚える;おぼえる;memorize| remember;おぼえて;2;;
泳ぐ;およぐ;swim;およいで;1;;
降りる;おりる;get off;おりて;1;;
終わる;おわる;end;おわって;1;;
買う;かう;buy;かって;1;;
返す;かえす;give back| return (something to someone);かえして;1;;
帰る;かえる;return home;かえって;1;;
掛かる;かかる;take| begin| be hanging;かかって;1;;
書く;かく;write;かいて;1;;
;かける;make a phone call;かけて;2;;
貸す;かす;lend;かして;1;;
冠る;かぶる;put on a hat;かびって;1;;
借りる;かりる;borrow;かりて;2;;
消える;きえる;vanish| go out| be extinguished;きえて;2;;
聞く;きく;listen;きいて;1;;
切る;きる;cut;きって;1;;
着る;きる;wear| put on;きて;2;;
来る;くる;come;きて;3;;
消す;けす;turn off| switch off;けして;1;;
答える;こたえる;answer;こたえて;2;;
困る;こまる;be in trouble;こまって;1;;
咲く;さく;blossom;さいて;1;;
刺す;さす;point out| sting| stab;さして;1;;
死ぬ;しぬ;die| pass away;しんで;1;;
;しまう;put away;しまって;1;;
閉まる;しまる;close;しまって;1;;
閉める;しめる;close;しめて;2;;
知る;しる;know;しって;1;;
吸う;すう;breath| smoke;すって;1;;
住む;すむ;live| reside somewhere;すんで;1;;
;する;do;して;3;;
座る;すわる;sit;すわって;1;;
出す;だす;take out| hand in;だして;1;;
助ける;たすける;help;たすけて;2;;
足す;たす;add;たして;1;;
立つ;たつ;stand up;たって;1;;
頼む;たのむ;ask| request;たのんで;1;;
食べる;たべる;eat;たべて;2;;
違う;ちがう;be different;ちがって;1;;
使う;つかう;use;つかって;1;;
疲れる;つかれる;get tired;つかれて;2;;
着く;つく;arrive;ついて;1;;
作る;つくる;make| build| create;つくって;1;;
点ける;つける;turn on| light;つけて;2;;
勤める;つとめる;work for someone;つとめて;2;;
出かける;でかける;go out;でかけて;2;;
出来る;できる;can do;できて;2;;
出る;でる;leave;でて;2;;
飛ぶ;とぶ;fly| jump;とんで;1;;
止まる;とまる;stop;とまって;1;;
取る;とる;take;とって;1;;
撮る;とる;take a photo;とって;1;;
鳴く;なく;cry;ないて;1;;
並ぶ;ならぶ;form a line;ならんで;1;;
習う;ならう;learn;ならって;1;;
並べる;ならべる;line up;ならべて;2;;
;なる;become;なって;1;;
脱ぐ;ぬぐ;take off| remove (shoes| clothes);ぬいで;1;;
寝る;ねる;sleep;ねて;2;;
登る;のぼる;climb up;のぼって;1;;
飲む;のむ;drink;のんで;1;;
乗る;のる;take| ride;のって;1;;
払う;はらう;pay;はらって;1;;
入る;はいる;enter;はいって;1;;
履く;はく;put on| wear (on feet or legs - trousers/shoes etc);はいて;1;;
始める;はじめる;begin| start;はじめて;2;;
始まる;はじまる;begin| start;はじまって;1;;
走る;はしる;run;はしって;1;;
働く;はたらく;work;はたらいて;1;;
話す;はなす;talk| speak| tell;はなして;1;;
 張る;はる;put something on| stick;はって;1;;
 晴れる;はれる;clear up;はれて;2;;
引く;ひく;pull;ひいて;1;;
弾く;ひく;play (string instrument);ひいて;1;;
吹く;ふく;blow (wind);ふいて;1;;
降る;ふる;fall (rain| snow);ふって;1;;
曲がる;まがる;turn;まがって;1;;
待つ;まつ;wait;まって;1;;
磨く;みがく;polish| brush;みがいて;1;;
見せる;みせる;show;みせて;2;;
見る;みる;see| watch;みて;2;;
持つ;もつ;have| own;もって;1;;
休む;やすむ;rest;やすんで;1;;
;やる;do;やって;1;;
呼ぶ;よぶ;call;よんで;1;;
読む;よむ;read;よんで;1;;
分かる;わかる;know| understand;わかって;1;;
忘れる;わすれる;forget;わすれて;2;;
渡す;わたす;hand over;わたして;1;;
渡る;わたる;cross;わたって;1;;
